22 27
0 1.28 0
1 1.47 0
2 1.33 1
3 0.91 0
4 1.03 1
5 1.36 1
6 0.82 1
7 0.87 1
8 0.82 0
9 1.49 1
10 1.2 1
11 1.26 0
12 1.21 1
13 1.01 0
14 1.2 1
15 1.48 0
16 1.23 0
17 1.0 1
18 1.08 1
19 0.92 0
20 1.24 0
21 1.09 1
0 1 0 100000
1 0 0 100000
2 3 3 100000
3 2 3 100000
2 4 2 100000
4 2 2 100000
5 6 6 100000
6 5 6 100000
5 7 4 100000
7 5 4 100000
6 8 2 100000
8 6 2 100000
6 9 7 100000
9 6 7 100000
10 11 2 100000
11 10 2 100000
11 12 2 100000
12 11 2 100000
1 5 5 100000
5 1 5 100000
1 6 9 100000
6 1 9 100000
1 7 2 100000
7 1 2 100000
1 13 0 100000
13 1 0 100000
9 10 2 100000
10 9 2 100000
9 11 3 100000
11 9 3 100000
3 12 5 100000
12 3 5 100000
3 15 2 100000
15 3 2 100000
3 16 1 100000
16 3 1 100000
17 18 0 100000
18 17 0 100000
4 5 10 100000
5 4 10 100000
4 10 3 100000
10 4 3 100000
12 14 0 100000
14 12 0 100000
12 17 1 100000
17 12 1 100000
12 19 0 100000
19 12 0 100000
12 18 0 100000
18 12 0 100000
16 20 0 100000
20 16 0 100000
16 21 0 100000
21 16 0 100000
