18 60
0 1.12 1
1 1.36 1
2 1.31 0
3 0.93 0
4 1.44 1
5 1.44 0
6 1.11 0
7 1.13 1
8 1.49 1
9 1.43 1
10 1.47 1
11 1.12 0
12 1.25 0
13 1.45 1
14 1.25 0
15 1.26 0
16 1.09 0
17 1.04 0
0 1 5 100000
1 0 5 100000
0 2 19 100000
2 0 19 100000
0 3 19 100000
3 0 19 100000
4 5 3 100000
5 4 3 100000
4 6 0 100000
6 4 0 100000
8 9 4 100000
9 8 4 100000
8 10 10 100000
10 8 10 100000
8 11 16 100000
11 8 16 100000
8 12 38 100000
12 8 38 100000
8 13 4 100000
13 8 4 100000
5 8 8 100000
8 5 8 100000
5 10 14 100000
10 5 14 100000
5 11 21 100000
11 5 21 100000
5 14 11 100000
14 5 11 100000
5 15 3 100000
15 5 3 100000
5 6 3 100000
6 5 3 100000
1 4 5 100000
4 1 5 100000
1 7 5 100000
7 1 5 100000
1 8 5 100000
8 1 5 100000
1 5 7 100000
5 1 7 100000
1 16 6 100000
16 1 6 100000
1 17 13 100000
17 1 13 100000
1 9 5 100000
9 1 5 100000
1 10 7 100000
10 1 7 100000
1 11 14 100000
11 1 14 100000
1 14 7 100000
14 1 7 100000
1 13 6 100000
13 1 6 100000
1 15 5 100000
15 1 5 100000
1 3 14 100000
3 1 14 100000
10 17 6 100000
17 10 6 100000
10 11 7 100000
11 10 7 100000
11 17 1 100000
17 11 1 100000
11 14 14 100000
14 11 14 100000
2 7 19 100000
7 2 19 100000
2 8 17 100000
8 2 17 100000
2 16 19 100000
16 2 19 100000
2 17 2 100000
17 2 2 100000
2 10 8 100000
10 2 8 100000
2 11 2 100000
11 2 2 100000
2 14 15 100000
14 2 15 100000
2 13 20 100000
13 2 20 100000
2 3 6 100000
3 2 6 100000
3 4 19 100000
4 3 19 100000
3 7 19 100000
7 3 19 100000
3 8 18 100000
8 3 18 100000
3 16 19 100000
16 3 19 100000
3 17 7 100000
17 3 7 100000
3 9 19 100000
9 3 19 100000
3 10 8 100000
10 3 8 100000
3 11 8 100000
11 3 8 100000
3 12 43 100000
12 3 43 100000
3 14 17 100000
14 3 17 100000
3 13 20 100000
13 3 20 100000
3 15 19 100000
15 3 19 100000
6 7 0 100000
7 6 0 100000
6 8 4 100000
8 6 4 100000
6 10 12 100000
10 6 12 100000
6 11 19 100000
11 6 19 100000
6 14 8 100000
14 6 8 100000
6 15 1 100000
15 6 1 100000
