timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,18.7179487179,28.0,33
1,554.14842537,144.786,247.134719601,100.0,0,13,13.4,18.5072463768,28.0,28
2,641.405135446,183.147,305.623445451,100.0,0,13,14.0,18.3166666667,22.0,25
3,688.552897731,198.971,257.326372247,100.0,0,15,16.0,19.3442622951,23.0,23
4,754.721047956,211.434,224.174185796,100.0,0,13,15.0,17.5616438356,22.0,22
5,729.86787227,216.157,203.876843945,100.0,0,14,14.75,18.1842105263,22.0,22
6,942.426872768,273.48,266.27586196,100.0,0,14,15.0,19.3896103896,22.0,25
7,931.563037779,260.97,254.58438259,100.0,0,14,15.0,18.3285714286,22.0,23
8,713.794939687,206.516,204.798767955,100.0,0,13,14.0,17.9375,22.0,23
9,857.118925859,254.814,241.549743417,100.0,0,15,15.0,18.3846153846,22.0,22
10,795.408918709,231.045,229.278694677,100.0,0,13,14.15,17.640625,21.0,21
11,1045.22143136,327.833,113.802330792,100.0,33,16,17.0,22.4,29.8,36
12,926.333967887,262.966,243.89390099,100.0,1,13,14.25,18.696969697,25.0,36
13,739.411563228,211.203,284.127338887,100.0,27,14,15.0,22.5584415584,31.2,33
14,607.540110481,178.155,390.099900725,100.0,2,13,14.0,18.2112676056,26.0,28
15,591.08783381,171.155,414.465168053,100.0,0,13,15.0,18.859375,27.0,32
16,443.555622337,133.734,346.268887765,100.0,0,13,13.0,18.3076923077,25.0,32
17,655.053232167,194.283,504.877060687,100.0,0,13,14.05,18.2741935484,23.95,28
18,476.16791522,141.188,369.55466471,100.0,0,13,15.0,19.2235294118,27.0,28
19,614.219127838,176.326,473.286400909,100.0,0,13,14.95,19.0875,24.15,32
20,595.516639326,180.807,477.682256751,100.0,0,13,14.75,19.0,27.0,27
21,538.117214502,157.239,409.012093815,100.0,0,13,14.2,18.7692307692,25.0,27
22,550.123229036,159.847,439.771497916,100.0,0,13,14.0,18.0161290323,24.95,28
23,618.499762625,171.836,467.675379855,100.0,0,13,15.0,19.025,26.05,32
24,684.722384964,198.651,529.81027065,100.0,0,0.0,0.0,0.0,0.0,0.0
25,287.485466914,84.359,229.019215551,100.0,0,0.0,0.0,0.0,0.0,0.0
26,104.629939349,30.277,81.9874052074,100.0,0,0.0,0.0,0.0,0.0,0.0
27,35.983182994,9.829,25.0363661332,100.0,0,0.0,0.0,0.0,0.0,0.0
28,8.69128369084,2.5,6.66448877843,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.39678270088,2.5,6.6632342634,100.0,0,0.0,0.0,0.0,0.0,0.0
30,8.94340384156,2.5,6.66330453909,100.0,0,0.0,0.0,0.0,0.0,0.0
31,-0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
