timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,6,1,1,20
0,1,6,1,1,20
0,2,3,1,1,15
0,3,5,1,1,18
0,4,4,1,1,15
0,5,4,1,1,15
0,6,4,1,1,15
0,7,3,1,1,13
0,8,6,1,1,21
0,9,3,1,1,15
0,10,5,1,1,18
0,11,5,1,1,17
0,12,6,1,1,20
0,13,3,1,1,13
0,14,3,1,1,13
0,15,4,1,1,17
0,16,6,1,1,19
0,17,4,1,1,15
0,18,3,1,1,15
0,19,6,1,1,19
0,20,4,1,1,17
0,21,6,1,1,21
0,22,3,1,1,15
0,23,5,1,1,19
0,24,6,1,1,21
0,25,6,1,1,21
0,26,5,1,1,18
0,27,3,1,1,15
0,28,4,1,1,17
0,29,6,1,1,20
0,30,3,1,1,15
0,31,4,1,1,17
0,32,5,1,1,19
0,33,5,1,1,18
0,34,4,1,1,16
0,35,3,1,1,15
0,36,6,1,1,21
0,37,6,1,1,20
0,38,5,1,1,18
0,39,6,1,1,19
0,40,6,1,1,21
0,41,5,1,1,19
0,42,3,1,1,13
0,43,4,1,1,17
0,44,4,1,1,17
0,45,3,1,1,15
0,46,6,1,1,21
0,47,5,1,1,17
0,48,3,1,1,13
0,49,6,1,1,20
0,50,3,1,1,13
0,51,6,1,1,21
0,52,6,1,1,20
0,53,3,1,1,15
0,54,6,1,1,20
0,55,6,1,1,21
0,56,5,1,1,18
0,57,5,1,1,18
0,58,5,1,1,17
0,59,3,1,1,15
0,60,5,1,1,18
0,61,5,1,1,17
0,62,5,1,1,17
0,63,3,1,1,15
0,64,5,1,1,18
0,65,6,1,1,19
0,66,3,1,1,14
0,67,6,1,1,21
0,68,3,1,1,13
0,69,5,1,1,18
0,70,4,1,1,15
0,71,4,1,1,17
0,72,4,1,1,17
0,73,3,1,1,15
0,74,3,1,1,15
0,75,6,1,1,19
0,76,3,1,1,15
0,77,4,1,1,15
1,128,4,1,1,16
1,129,5,1,1,17
1,130,5,1,1,18
1,131,6,1,1,21
1,132,4,1,1,16
1,133,5,1,1,19
1,134,6,1,1,19
1,135,6,1,1,19
1,136,5,1,1,19
1,137,4,1,1,16
1,138,5,1,1,17
1,139,6,1,1,19
1,140,6,1,1,19
1,141,5,1,1,18
1,142,3,1,1,15
1,143,5,1,1,17
1,144,3,1,1,15
1,145,6,1,1,20
1,146,6,1,1,19
1,78,5,1,1,19
1,79,3,1,1,13
1,80,6,1,1,19
1,81,4,1,1,17
