timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,16.1681415929,20.0,20
1,1102.27942263,295.269,116.744307615,100.0,0,13,13.0,16.4803921569,19.0,20
2,1554.05826186,429.234,160.202318615,100.0,0,13,13.0,16.3387096774,19.85,20
3,2241.16751292,612.433,104.595266103,100.0,0,13,13.0,16.2727272727,19.0,20
4,1852.95191842,535.717,63.7320123221,100.0,0,13,13.0,16.0099009901,19.0,20
5,1703.80322969,500.587,51.8289066554,100.0,0,13,13.0,16.261682243,20.0,20
6,1944.0288308,538.785,51.9296147434,100.0,0,13,13.0,16.1932773109,20.0,20
7,2210.56910453,619.101,61.7989317532,100.0,0,13,13.0,16.3362068966,20.0,20
8,2164.28359656,647.398,65.6041309826,100.0,0,13,13.0,15.5784313725,19.0,20
9,1777.30641361,514.274,53.0909472211,100.0,0,13,13.0,15.8571428571,19.0,20
10,1961.60557183,539.443,56.5831800428,100.0,0,13,13.0,15.9,19.0,20
11,1747.80104241,490.66,16.1010152105,100.0,0,13,13.0,16.0826446281,19.0,20
12,2049.76046512,579.407,46.0173546469,100.0,25,13,13.0,16.0485436893,20.0,20
13,1648.48606173,454.364,154.401888845,100.0,1,13,13.0,16.1367521368,20.0,20
14,1959.84419674,515.834,230.14507794,100.0,0,13,13.0,16.3366336634,19.0,20
15,1768.22251456,474.992,244.313655574,100.0,0,13,13.0,15.7692307692,20.0,20
16,1627.87578413,470.159,250.81534259,100.0,0,13,13.0,16.4028776978,19.0,20
17,1860.3602542,529.106,272.355962263,100.0,0,13,13.0,16.5700934579,19.7,20
18,1559.65980041,425.555,255.421332873,100.0,0,13,13.0,16.3539823009,19.0,20
19,1591.12822624,469.282,268.191737265,100.0,0,13,13.0,15.875,20.0,20
20,1661.8174138,476.429,274.597766713,100.0,0,13,13.0,16.2549019608,19.0,20
21,1420.64800582,407.585,243.506151335,100.0,0,13,13.0,15.854368932,19.0,20
22,1276.32228562,359.365,199.322356497,100.0,0,13,13.0,16.6179775281,20.0,20
23,1188.37758243,325.63,175.342970951,100.0,0,13,13.0,16.6504854369,20.0,20
24,1270.15617324,342.893,208.068102073,100.0,0,0.0,0.0,0.0,0.0,0.0
25,447.872779412,122.367,82.6287391986,100.0,0,0.0,0.0,0.0,0.0,0.0
26,202.863445052,55.556,37.3747255352,100.0,0,0.0,0.0,0.0,0.0,0.0
27,60.61374606,14.778,4.50253563921,100.0,0,0.0,0.0,0.0,0.0,0.0
28,16.3875943206,4.373,1.66750172111,100.0,0,0.0,0.0,0.0,0.0,0.0
29,-0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
