timeslot,sfc_id,vnf_count,server_count,co_count,path_stretch
0,0,6,2,2,25
0,1,5,1,1,18
0,2,4,1,1,16
0,3,4,1,1,15
0,4,5,2,2,23
0,5,4,2,2,21
0,6,5,1,1,17
0,7,5,1,1,18
0,8,3,2,2,19
0,9,3,1,1,13
0,10,5,2,2,22
0,11,5,2,2,23
0,12,3,2,2,19
0,13,4,2,2,21
0,14,6,2,2,24
0,15,4,2,2,21
0,16,5,2,2,22
0,17,5,1,1,17
0,18,4,2,2,21
0,19,4,2,2,21
0,20,4,1,1,15
0,21,3,1,1,14
0,22,6,1,1,20
0,23,3,2,2,18
0,24,5,2,2,23
0,25,3,2,2,18
1,26,3,2,2,19
1,27,4,2,2,21
1,28,4,1,1,16
1,29,3,2,2,18
1,30,5,2,2,23
1,31,6,1,1,20
1,32,3,1,1,13
1,33,5,1,1,17
1,34,4,2,2,21
1,35,5,2,2,23
1,36,4,2,2,21
1,37,5,1,1,17
1,38,3,1,1,13
1,39,6,1,1,20
1,40,3,2,2,19
1,41,5,2,2,23
1,42,6,1,1,20
1,43,6,1,1,20
1,44,3,1,1,13
1,45,6,2,2,25
1,46,3,1,1,13
1,47,5,1,1,17
1,48,6,1,1,20
1,49,4,2,2,21
1,50,6,2,2,24
1,51,5,2,2,23
1,52,4,1,1,15
1,53,3,2,2,19
1,54,3,2,2,19
1,55,5,2,2,22
1,56,5,2,2,23
2,57,6,2,2,25
2,58,3,2,2,20
2,59,6,2,2,25
2,60,3,1,1,13
2,61,4,2,2,22
2,62,4,2,2,22
2,63,4,1,1,15
2,64,4,1,1,16
2,65,4,2,2,22
2,66,5,2,2,24
2,67,4,1,1,15
2,68,4,2,2,22
2,69,3,2,2,20
2,70,3,2,2,20
2,71,3,2,2,19
2,72,3,2,2,19
2,73,5,2,2,23
2,74,3,1,1,13
2,75,4,1,1,15
2,76,4,2,2,21
2,77,6,2,2,25
2,78,5,2,2,24
2,79,3,1,1,13
2,80,6,1,1,20
2,81,4,2,2,21
2,82,4,2,2,22
2,83,4,1,1,15
2,84,6,2,2,26
2,85,6,1,1,20
2,86,6,2,2,25
2,87,5,2,2,23
2,88,6,2,2,26
2,89,5,2,2,24
2,90,4,2,2,22
2,91,5,2,2,23
2,92,5,2,2,24
3,93,3,1,1,13
3,94,3,2,2,20
3,95,4,1,1,15
3,96,4,2,2,21
3,97,5,2,2,23
3,98,3,1,1,14
3,99,4,2,2,22
3,100,3,1,1,13
3,101,5,1,1,17
3,102,4,2,2,22
3,103,6,2,2,26
3,104,3,2,2,19
3,105,6,1,1,20
3,106,6,2,2,26
3,107,4,1,1,15
3,108,3,1,1,14
3,109,4,1,1,16
3,110,6,2,2,25
3,111,4,2,2,21
3,112,4,1,1,16
3,113,3,2,2,19
3,114,4,2,2,21
3,115,5,2,2,23
3,116,5,1,1,18
3,117,4,2,2,22
3,118,4,2,2,22
3,119,3,1,1,14
3,120,5,2,2,23
3,121,5,2,2,24
3,122,5,2,2,24
3,123,4,2,2,22
3,124,5,1,1,17
3,125,5,2,2,23
3,126,5,2,2,24
4,128,4,2,2,21
4,129,4,1,1,15
4,130,6,2,2,25
4,131,3,1,1,14
4,132,5,1,1,17
4,133,5,2,2,24
4,134,4,1,1,15
4,135,4,1,1,16
4,136,4,1,1,16
4,137,3,2,2,19
4,138,6,2,2,26
4,139,5,2,2,24
4,140,3,2,2,20
4,141,6,2,2,25
4,142,5,2,2,23
4,143,3,1,1,13
4,144,3,2,2,20
4,145,3,1,1,14
4,146,3,2,2,19
4,147,5,2,2,24
4,148,6,1,1,20
4,149,3,2,2,19
4,150,4,1,1,15
4,151,4,2,2,22
4,152,6,1,1,20
4,153,4,1,1,15
4,154,4,1,1,15
4,127,4,2,2,22
5,155,5,1,1,17
5,156,4,1,1,16
5,157,4,2,2,22
5,158,4,2,2,21
5,159,6,2,2,26
5,160,5,2,2,24
5,161,5,2,2,23
5,162,6,2,2,25
5,163,3,1,1,13
5,164,3,2,2,20
5,165,4,2,2,22
5,166,5,2,2,24
5,167,4,1,1,15
5,168,6,2,2,25
5,169,4,2,2,21
5,170,6,2,2,25
5,171,5,2,2,23
5,172,5,2,2,24
5,173,4,2,2,22
5,174,6,2,2,25
5,175,6,1,1,20
5,176,6,1,1,20
5,177,4,1,1,15
5,178,3,1,1,13
5,179,3,2,2,20
5,180,4,2,2,21
5,181,5,2,2,23
5,182,6,2,2,26
5,183,3,1,1,13
5,184,5,2,2,24
5,185,3,2,2,19
