timeslot,carbon_footprint,brown_energy,green_energy,acceptance_ratio,migration_count,ps_min,ps_5th,ps_mean,ps_95th,ps_max
0,0.0,0.0,0.0,100.0,0,13,13.0,19.9198312236,25.0,25
1,487.682145,566.447,461.784090909,100.0,0,13,13.0,20.4170403587,25.0,25
2,667.588725,783.089,634.691761364,100.0,0,13,13.0,19.8474576271,25.0,25
3,829.373985,980.823,641.730113636,100.0,0,13,13.0,19.8723404255,25.0,25
4,804.041775,952.343,559.953125,100.0,0,13,13.0,20.0393700787,25.0,25
5,957.72492,1138.807,622.568181818,100.0,0,13,13.0,20.1862348178,25.0,25
6,986.71077,1177.861,650.325284091,100.0,0,13,13.0,19.8583333333,25.0,25
7,931.74705,1114.456,630.755681818,100.0,0,13,13.0,19.6767241379,25.0,25
8,898.11306,1075.63,622.997159091,100.0,0,13,13.0,20.0214592275,25.0,25
9,921.509055,1090.918,622.498579545,100.0,0,13,13.0,20.2827868852,25.0,25
10,940.207185,1123.239,620.471590909,100.0,0,13,13.0,16.0255319149,20.0,20
11,1080.21519,1248.29,217.806818182,100.0,0,13,13.0,16.1,19.0,20
12,1165.10877,1336.881,199.400568182,100.0,0,13,13.0,19.2,26.0,26
13,1110.53061,1256.502,417.776988636,100.0,89,13,13.0,20.1757322176,25.0,26
14,882.091665,1021.247,829.852272727,100.0,45,13,13.5,20.081300813,25.0,25
15,719.106885,847.921,884.521306822,100.0,0,13,13.0,20.2727272727,25.0,25
16,763.305525,914.43,959.285511364,100.0,0,13,13.0,19.9537815126,25.0,25
17,658.231245,792.413,874.661931818,100.0,0,13,13.0,20.0609756098,25.0,25
18,702.836865,848.573,965.801136364,100.0,0,13,13.0,20.3646616541,25.0,25
19,791.32977,953.687,1034.0,100.0,0,13,13.0,20.012295082,25.0,25
20,758.09664,923.189,1014.36221591,100.0,0,13,13.0,20.0686695279,25.0,25
21,770.742855,933.132,981.612215909,100.0,0,13,13.0,20.04784689,25.0,25
22,685.257165,815.194,902.274147724,100.0,0,13,13.0,20.0424710425,25.0,25
23,729.582795,882.865,957.419034091,100.0,0,13,13.0,19.9760956175,25.0,25
24,781.88661,941.954,1048.88494318,100.0,0,0.0,0.0,0.0,0.0,0.0
25,273.96945,327.954,351.348011364,100.0,0,0.0,0.0,0.0,0.0,0.0
26,98.540415,118.822,136.058238636,100.0,0,0.0,0.0,0.0,0.0,0.0
27,35.207595,44.333,57.5539772727,100.0,0,0.0,0.0,0.0,0.0,0.0
28,18.862605,23.001,31.3011363636,100.0,0,0.0,0.0,0.0,0.0,0.0
29,8.510625,10.357,20.8707386364,100.0,0,0.0,0.0,0.0,0.0,0.0
30,4.856985,6.041,10.3039772727,100.0,0,0.0,0.0,0.0,0.0,0.0
31,1.873485,2.158,6.44176136364,100.0,0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,-0.0,100.0,0,0.0,0.0,0.0,0.0,0.0
